Selected_Features,Runtime_seconds
ACTBL2.345651,2094.4407460689545
ALPL.249,2094.4407460689545
APCDD1L.164284,2094.4407460689545
ASMT.438,2094.4407460689545
C1orf127.148345,2094.4407460689545
C1orf9.51430,2094.4407460689545
C20orf186.149954,2094.4407460689545
C21orf7.56911,2094.4407460689545
C7orf46.340277,2094.4407460689545
CARTPT.9607,2094.4407460689545
CCL1.6346,2094.4407460689545
CDK19.23097,2094.4407460689545
CECR4.100130717,2094.4407460689545
CTDP1.9150,2094.4407460689545
DDB1.1642,2094.4407460689545
DUOXA2.405753,2094.4407460689545
EVC2.132884,2094.4407460689545
FGF9.2254,2094.4407460689545
FRMD7.90167,2094.4407460689545
GABRG3.2567,2094.4407460689545
GAD2.2572,2094.4407460689545
GIPC2.54810,2094.4407460689545
GLTPD2.388323,2094.4407460689545
IL26.55801,2094.4407460689545
KCNJ8.3764,2094.4407460689545
LCE1A.353131,2094.4407460689545
LCMT2.9836,2094.4407460689545
LOC145783.145783,2094.4407460689545
LOC285692.285692,2094.4407460689545
LOC440944.440944,2094.4407460689545
LRRC61.65999,2094.4407460689545
LYPD5.284348,2094.4407460689545
MFRP.83552,2094.4407460689545
MORC4.79710,2094.4407460689545
MSL2.55167,2094.4407460689545
NMUR1.10316,2094.4407460689545
OR4K5.79317,2094.4407460689545
OR6B1.135946,2094.4407460689545
PCBP4.57060,2094.4407460689545
PCYT1B.9468,2094.4407460689545
PFN2.5217,2094.4407460689545
RAB5A.5868,2094.4407460689545
RPL8.6132,2094.4407460689545
RPS4X.6191,2094.4407460689545
RSPO4.343637,2094.4407460689545
SGIP1.84251,2094.4407460689545
SLCO4A1.28231,2094.4407460689545
SNORA31.677814,2094.4407460689545
SNORA81.677847,2094.4407460689545
SRPK1.6732,2094.4407460689545
TADA2B.93624,2094.4407460689545
TARDBP.23435,2094.4407460689545
TMBIM4.51643,2094.4407460689545
TRIP4.9325,2094.4407460689545
UNKL.64718,2094.4407460689545
USP24.23358,2094.4407460689545
VPS33A.65082,2094.4407460689545
cg00663077,2094.4407460689545
cg02090762,2094.4407460689545
cg03249131,2094.4407460689545
cg03576469,2094.4407460689545
cg04615639,2094.4407460689545
cg04908380,2094.4407460689545
cg06204711,2094.4407460689545
cg08445802,2094.4407460689545
cg08609270,2094.4407460689545
cg11195065,2094.4407460689545
cg11498607,2094.4407460689545
cg13293535,2094.4407460689545
cg13620034,2094.4407460689545
cg19284039,2094.4407460689545
cg21802055,2094.4407460689545
cg26718878,2094.4407460689545
hsa.mir.3150,2094.4407460689545
hsa.mir.3175,2094.4407460689545
hsa.mir.3667,2094.4407460689545
hsa.mir.544b,2094.4407460689545
