Selected_Features,Runtime_seconds
ACTBL2.345651,4484.28262925148
ALPL.249,4484.28262925148
APCDD1L.164284,4484.28262925148
ASMT.438,4484.28262925148
C1orf127.148345,4484.28262925148
C1orf9.51430,4484.28262925148
C20orf186.149954,4484.28262925148
C21orf7.56911,4484.28262925148
C7orf46.340277,4484.28262925148
CARTPT.9607,4484.28262925148
CCL1.6346,4484.28262925148
CDK19.23097,4484.28262925148
CECR4.100130717,4484.28262925148
CTDP1.9150,4484.28262925148
DDB1.1642,4484.28262925148
DUOXA2.405753,4484.28262925148
EVC2.132884,4484.28262925148
FGF9.2254,4484.28262925148
FRMD7.90167,4484.28262925148
GABRG3.2567,4484.28262925148
GAD2.2572,4484.28262925148
GIPC2.54810,4484.28262925148
GLTPD2.388323,4484.28262925148
IL26.55801,4484.28262925148
KCNJ8.3764,4484.28262925148
LCE1A.353131,4484.28262925148
LCMT2.9836,4484.28262925148
LOC145783.145783,4484.28262925148
LOC285692.285692,4484.28262925148
LOC440944.440944,4484.28262925148
LRRC61.65999,4484.28262925148
LYPD5.284348,4484.28262925148
MFRP.83552,4484.28262925148
MORC4.79710,4484.28262925148
MSL2.55167,4484.28262925148
NMUR1.10316,4484.28262925148
OR4K5.79317,4484.28262925148
OR6B1.135946,4484.28262925148
PCBP4.57060,4484.28262925148
PCYT1B.9468,4484.28262925148
PFN2.5217,4484.28262925148
RAB5A.5868,4484.28262925148
RPL8.6132,4484.28262925148
RPS4X.6191,4484.28262925148
RSPO4.343637,4484.28262925148
SGIP1.84251,4484.28262925148
SLCO4A1.28231,4484.28262925148
SNORA31.677814,4484.28262925148
SNORA81.677847,4484.28262925148
SRPK1.6732,4484.28262925148
TADA2B.93624,4484.28262925148
TARDBP.23435,4484.28262925148
TMBIM4.51643,4484.28262925148
TRIP4.9325,4484.28262925148
UNKL.64718,4484.28262925148
USP24.23358,4484.28262925148
VPS33A.65082,4484.28262925148
cg00663077,4484.28262925148
cg02090762,4484.28262925148
cg03249131,4484.28262925148
cg03576469,4484.28262925148
cg04615639,4484.28262925148
cg04908380,4484.28262925148
cg06204711,4484.28262925148
cg08445802,4484.28262925148
cg08609270,4484.28262925148
cg11195065,4484.28262925148
cg11498607,4484.28262925148
cg13293535,4484.28262925148
cg13620034,4484.28262925148
cg19284039,4484.28262925148
cg21802055,4484.28262925148
cg26718878,4484.28262925148
hsa.mir.3150,4484.28262925148
hsa.mir.3175,4484.28262925148
hsa.mir.3667,4484.28262925148
hsa.mir.544b,4484.28262925148
