Feature,Score,Runtime_seconds
RBMS1.5937,0.09875625732107854,458.10329151153564
cg09919570,0.09040660814176384,458.10329151153564
cg18881778,0.08594117435893918,458.10329151153564
cg06204711,0.0852782501274214,458.10329151153564
FAM127B.26071,0.08386382125624098,458.10329151153564
CCT2.10576,0.08268116306384242,458.10329151153564
cg01268541,0.08134567830846214,458.10329151153564
cg14175690,0.08041851408348498,458.10329151153564
cg21879102,0.08015279966818918,458.10329151153564
SEH1L.81929,0.07864084196050349,458.10329151153564
